from,quantity_from,to,quantity_to,account_name,date,id
,0,usd,4000,test,1571465081,1
usd,4000,bitcoin,1,test,1571465081,2
,0,usd,4000,test,1571463081,3
usd,4000,bitcoin,1,test,1571463081,4
,0,usd,4000,test,1571461081,5
usd,4000,bitcoin,1,test,1571461081,6
,0,usd,4000,test,1571459081,7
usd,4000,bitcoin,1,test,1571459081,8
,0,usd,4000,test,1571457081,9
usd,4000,bitcoin,1,test,1571457081,10
,0,usd,4000,test,1571455081,11
usd,4000,bitcoin,1,test,1571455081,12
,0,usd,4000,test,1571453081,13
usd,4000,bitcoin,1,test,1571453081,14
,0,usd,4000,test,1571451081,15
usd,4000,bitcoin,1,test,1571451081,16
,0,usd,4000,test,1571449081,17
usd,4000,bitcoin,1,test,1571449081,18
,0,usd,4000,test,1571447081,19
usd,4000,bitcoin,1,test,1571447081,20
,0,usd,4000,test,1571445081,21
usd,4000,bitcoin,1,test,1571445081,22
,0,usd,4000,test,1571443081,23
usd,4000,bitcoin,1,test,1571443081,24
,0,usd,4000,test,1571441081,25
usd,4000,bitcoin,1,test,1571441081,26
,0,usd,4000,test,1571439081,27
usd,4000,bitcoin,1,test,1571439081,28
,0,usd,4000,test,1571437081,29
usd,4000,bitcoin,1,test,1571437081,30
,0,usd,4000,test,1571435081,31
usd,4000,bitcoin,1,test,1571435081,32
,0,usd,4000,test,1571433081,33
usd,4000,bitcoin,1,test,1571433081,34
,0,usd,4000,test,1571431081,35
usd,4000,bitcoin,1,test,1571431081,36
,0,usd,4000,test,1571429081,37
usd,4000,bitcoin,1,test,1571429081,38
,0,usd,4000,test,1571427081,39
usd,4000,bitcoin,1,test,1571427081,40
,0,usd,4000,test,1571425081,41
usd,4000,bitcoin,1,test,1571425081,42
,0,usd,4000,test,1571423081,43
usd,4000,bitcoin,1,test,1571423081,44
,0,usd,4000,test,1571421081,45
usd,4000,bitcoin,1,test,1571421081,46
,0,usd,4000,test,1571419081,47
usd,4000,bitcoin,1,test,1571419081,48
,0,usd,4000,test,1571417081,49
usd,4000,bitcoin,1,test,1571417081,50
,0,usd,4000,test,1571415081,51
usd,4000,bitcoin,1,test,1571415081,52
,0,usd,4000,test,1571413081,53
usd,4000,bitcoin,1,test,1571413081,54
,0,usd,4000,test,1571411081,55
usd,4000,bitcoin,1,test,1571411081,56
,0,usd,4000,test,1571409081,57
usd,4000,bitcoin,1,test,1571409081,58
,0,usd,4000,test,1571407081,59
usd,4000,bitcoin,1,test,1571407081,60
,0,usd,4000,test,1571405081,61
usd,4000,bitcoin,1,test,1571405081,62
,0,usd,4000,test,1571403081,63
usd,4000,bitcoin,1,test,1571403081,64
,0,usd,4000,test,1571401081,65
usd,4000,bitcoin,1,test,1571401081,66
,0,usd,4000,test,1571399081,67
usd,4000,bitcoin,1,test,1571399081,68
,0,usd,4000,test,1571397081,69
usd,4000,bitcoin,1,test,1571397081,70
,0,usd,4000,test,1571395081,71
usd,4000,bitcoin,1,test,1571395081,72
,0,usd,4000,test,1571393081,73
usd,4000,bitcoin,1,test,1571393081,74
,0,usd,4000,test,1571391081,75
usd,4000,bitcoin,1,test,1571391081,76
,0,usd,4000,test,1571389081,77
usd,4000,bitcoin,1,test,1571389081,78
,0,usd,4000,test,1571387081,79
usd,4000,bitcoin,1,test,1571387081,80
,0,usd,4000,test,1571385081,81
usd,4000,bitcoin,1,test,1571385081,82
,0,usd,4000,test,1571383081,83
usd,4000,bitcoin,1,test,1571383081,84
,0,usd,4000,test,1571381081,85
usd,4000,bitcoin,1,test,1571381081,86
,0,usd,4000,test,1571379081,87
usd,4000,bitcoin,1,test,1571379081,88
,0,usd,4000,test,1571377081,89
usd,4000,bitcoin,1,test,1571377081,90
,0,usd,4000,test,1571375081,91
usd,4000,bitcoin,1,test,1571375081,92
,0,usd,4000,test,1571373081,93
usd,4000,bitcoin,1,test,1571373081,94
,0,usd,4000,test,1571371081,95
usd,4000,bitcoin,1,test,1571371081,96
,0,usd,4000,test,1571369081,97
usd,4000,bitcoin,1,test,1571369081,98
,0,usd,4000,test,1571367081,99
usd,4000,bitcoin,1,test,1571367081,100
,0,usd,4000,test,1571365081,101
usd,4000,bitcoin,1,test,1571365081,102
,0,usd,4000,test,1571363081,103
usd,4000,bitcoin,1,test,1571363081,104
,0,usd,4000,test,1571361081,105
usd,4000,bitcoin,1,test,1571361081,106
,0,usd,4000,test,1571359081,107
usd,4000,bitcoin,1,test,1571359081,108
,0,usd,4000,test,1571357081,109
usd,4000,bitcoin,1,test,1571357081,110
,0,usd,4000,test,1571355081,111
usd,4000,bitcoin,1,test,1571355081,112
,0,usd,4000,test,1571353081,113
usd,4000,bitcoin,1,test,1571353081,114
,0,usd,4000,test,1571351081,115
usd,4000,bitcoin,1,test,1571351081,116
,0,usd,4000,test,1571349081,117
usd,4000,bitcoin,1,test,1571349081,118
,0,usd,4000,test,1571347081,119
usd,4000,bitcoin,1,test,1571347081,120
,0,usd,4000,test,1571345081,121
usd,4000,bitcoin,1,test,1571345081,122
,0,usd,4000,test,1571343081,123
usd,4000,bitcoin,1,test,1571343081,124
,0,usd,4000,test,1571341081,125
usd,4000,bitcoin,1,test,1571341081,126
,0,usd,4000,test,1571339081,127
usd,4000,bitcoin,1,test,1571339081,128
,0,usd,4000,test,1571337081,129
usd,4000,bitcoin,1,test,1571337081,130
,0,usd,4000,test,1571335081,131
usd,4000,bitcoin,1,test,1571335081,132
,0,usd,4000,test,1571333081,133
usd,4000,bitcoin,1,test,1571333081,134
,0,usd,4000,test,1571331081,135
usd,4000,bitcoin,1,test,1571331081,136
,0,usd,4000,test,1571329081,137
usd,4000,bitcoin,1,test,1571329081,138
,0,usd,4000,test,1571327081,139
usd,4000,bitcoin,1,test,1571327081,140
,0,usd,4000,test,1571325081,141
usd,4000,bitcoin,1,test,1571325081,142
,0,usd,4000,test,1571323081,143
usd,4000,bitcoin,1,test,1571323081,144
,0,usd,4000,test,1571321081,145
usd,4000,bitcoin,1,test,1571321081,146
,0,usd,4000,test,1571319081,147
usd,4000,bitcoin,1,test,1571319081,148
,0,usd,4000,test,1571317081,149
usd,4000,bitcoin,1,test,1571317081,150
,0,usd,4000,test,1571315081,151
usd,4000,bitcoin,1,test,1571315081,152
,0,usd,4000,test,1571313081,153
usd,4000,bitcoin,1,test,1571313081,154
,0,usd,4000,test,1571311081,155
usd,4000,bitcoin,1,test,1571311081,156
,0,usd,4000,test,1571309081,157
usd,4000,bitcoin,1,test,1571309081,158
,0,usd,4000,test,1571307081,159
usd,4000,bitcoin,1,test,1571307081,160
,0,usd,4000,test,1571305081,161
usd,4000,bitcoin,1,test,1571305081,162
,0,usd,4000,test,1571303081,163
usd,4000,bitcoin,1,test,1571303081,164
,0,usd,4000,test,1571301081,165
usd,4000,bitcoin,1,test,1571301081,166
,0,usd,4000,test,1571299081,167
usd,4000,bitcoin,1,test,1571299081,168
,0,usd,4000,test,1571297081,169
usd,4000,bitcoin,1,test,1571297081,170
,0,usd,4000,test,1571295081,171
usd,4000,bitcoin,1,test,1571295081,172
,0,usd,4000,test,1571293081,173
usd,4000,bitcoin,1,test,1571293081,174
,0,usd,4000,test,1571291081,175
usd,4000,bitcoin,1,test,1571291081,176
,0,usd,4000,test,1571289081,177
usd,4000,bitcoin,1,test,1571289081,178
,0,usd,4000,test,1571287081,179
usd,4000,bitcoin,1,test,1571287081,180
,0,usd,4000,test,1571285081,181
usd,4000,bitcoin,1,test,1571285081,182
,0,usd,4000,test,1571283081,183
usd,4000,bitcoin,1,test,1571283081,184
,0,usd,4000,test,1571281081,185
usd,4000,bitcoin,1,test,1571281081,186
,0,usd,4000,test,1571279081,187
usd,4000,bitcoin,1,test,1571279081,188
,0,usd,4000,test,1571277081,189
usd,4000,bitcoin,1,test,1571277081,190
,0,usd,4000,test,1571275081,191
usd,4000,bitcoin,1,test,1571275081,192
,0,usd,4000,test,1571273081,193
usd,4000,bitcoin,1,test,1571273081,194
,0,usd,4000,test,1571271081,195
usd,4000,bitcoin,1,test,1571271081,196
,0,usd,4000,test,1571269081,197
usd,4000,bitcoin,1,test,1571269081,198
,0,usd,4000,test,1571267081,199
usd,4000,bitcoin,1,test,1571267081,200
,0,usd,4000,test,1571265081,201
usd,4000,bitcoin,1,test,1571265081,202
,0,usd,4000,test,1571263081,203
usd,4000,bitcoin,1,test,1571263081,204
,0,usd,4000,test,1571261081,205
usd,4000,bitcoin,1,test,1571261081,206
,0,usd,4000,test,1571259081,207
usd,4000,bitcoin,1,test,1571259081,208
,0,usd,4000,test,1571257081,209
usd,4000,bitcoin,1,test,1571257081,210
,0,usd,4000,test,1571255081,211
usd,4000,bitcoin,1,test,1571255081,212
,0,usd,4000,test,1571253081,213
usd,4000,bitcoin,1,test,1571253081,214
,0,usd,4000,test,1571251081,215
usd,4000,bitcoin,1,test,1571251081,216
,0,usd,4000,test,1571249081,217
usd,4000,bitcoin,1,test,1571249081,218
,0,usd,4000,test,1571247081,219
usd,4000,bitcoin,1,test,1571247081,220
,0,usd,4000,test,1571245081,221
usd,4000,bitcoin,1,test,1571245081,222
,0,usd,4000,test,1571243081,223
usd,4000,bitcoin,1,test,1571243081,224
,0,usd,4000,test,1571241081,225
usd,4000,bitcoin,1,test,1571241081,226
,0,usd,4000,test,1571239081,227
usd,4000,bitcoin,1,test,1571239081,228
,0,usd,4000,test,1571237081,229
usd,4000,bitcoin,1,test,1571237081,230
,0,usd,4000,test,1571235081,231
usd,4000,bitcoin,1,test,1571235081,232
,0,usd,4000,test,1571233081,233
usd,4000,bitcoin,1,test,1571233081,234
,0,usd,4000,test,1571231081,235
usd,4000,bitcoin,1,test,1571231081,236
,0,usd,4000,test,1571229081,237
usd,4000,bitcoin,1,test,1571229081,238
,0,usd,4000,test,1571227081,239
usd,4000,bitcoin,1,test,1571227081,240
,0,usd,4000,test,1571225081,241
usd,4000,bitcoin,1,test,1571225081,242
,0,usd,4000,test,1571223081,243
usd,4000,bitcoin,1,test,1571223081,244
,0,usd,4000,test,1571221081,245
usd,4000,bitcoin,1,test,1571221081,246
,0,usd,4000,test,1571219081,247
usd,4000,bitcoin,1,test,1571219081,248
,0,usd,4000,test,1571217081,249
usd,4000,bitcoin,1,test,1571217081,250
,0,usd,4000,test,1571215081,251
usd,4000,bitcoin,1,test,1571215081,252
,0,usd,4000,test,1571213081,253
usd,4000,bitcoin,1,test,1571213081,254
,0,usd,4000,test,1571211081,255
usd,4000,bitcoin,1,test,1571211081,256
,0,usd,4000,test,1571209081,257
usd,4000,bitcoin,1,test,1571209081,258
,0,usd,4000,test,1571207081,259
usd,4000,bitcoin,1,test,1571207081,260
,0,usd,4000,test,1571205081,261
usd,4000,bitcoin,1,test,1571205081,262
,0,usd,4000,test,1571203081,263
usd,4000,bitcoin,1,test,1571203081,264
,0,usd,4000,test,1571201081,265
usd,4000,bitcoin,1,test,1571201081,266
,0,usd,4000,test,1571199081,267
usd,4000,bitcoin,1,test,1571199081,268
,0,usd,4000,test,1571197081,269
usd,4000,bitcoin,1,test,1571197081,270
,0,usd,4000,test,1571195081,271
usd,4000,bitcoin,1,test,1571195081,272
,0,usd,4000,test,1571193081,273
usd,4000,bitcoin,1,test,1571193081,274
,0,usd,4000,test,1571191081,275
usd,4000,bitcoin,1,test,1571191081,276
,0,usd,4000,test,1571189081,277
usd,4000,bitcoin,1,test,1571189081,278
,0,usd,4000,test,1571187081,279
usd,4000,bitcoin,1,test,1571187081,280
,0,usd,4000,test,1571185081,281
usd,4000,bitcoin,1,test,1571185081,282
,0,usd,4000,test,1571183081,283
usd,4000,bitcoin,1,test,1571183081,284
,0,usd,4000,test,1571181081,285
usd,4000,bitcoin,1,test,1571181081,286
,0,usd,4000,test,1571179081,287
usd,4000,bitcoin,1,test,1571179081,288
,0,usd,4000,test,1571177081,289
usd,4000,bitcoin,1,test,1571177081,290
,0,usd,4000,test,1571175081,291
usd,4000,bitcoin,1,test,1571175081,292
,0,usd,4000,test,1571173081,293
usd,4000,bitcoin,1,test,1571173081,294
,0,usd,4000,test,1571171081,295
usd,4000,bitcoin,1,test,1571171081,296
,0,usd,4000,test,1571169081,297
usd,4000,bitcoin,1,test,1571169081,298
,0,usd,4000,test,1571167081,299
usd,4000,bitcoin,1,test,1571167081,300
,0,usd,4000,test,1571165081,301
usd,4000,bitcoin,1,test,1571165081,302
,0,usd,4000,test,1571163081,303
usd,4000,bitcoin,1,test,1571163081,304
,0,usd,4000,test,1571161081,305
usd,4000,bitcoin,1,test,1571161081,306
,0,usd,4000,test,1571159081,307
usd,4000,bitcoin,1,test,1571159081,308
,0,usd,4000,test,1571157081,309
usd,4000,bitcoin,1,test,1571157081,310
,0,usd,4000,test,1571155081,311
usd,4000,bitcoin,1,test,1571155081,312
,0,usd,4000,test,1571153081,313
usd,4000,bitcoin,1,test,1571153081,314
,0,usd,4000,test,1571151081,315
usd,4000,bitcoin,1,test,1571151081,316
,0,usd,4000,test,1571149081,317
usd,4000,bitcoin,1,test,1571149081,318
,0,usd,4000,test,1571147081,319
usd,4000,bitcoin,1,test,1571147081,320
,0,usd,4000,test,1571145081,321
usd,4000,bitcoin,1,test,1571145081,322
,0,usd,4000,test,1571143081,323
usd,4000,bitcoin,1,test,1571143081,324
,0,usd,4000,test,1571141081,325
usd,4000,bitcoin,1,test,1571141081,326
,0,usd,4000,test,1571139081,327
usd,4000,bitcoin,1,test,1571139081,328
,0,usd,4000,test,1571137081,329
usd,4000,bitcoin,1,test,1571137081,330
,0,usd,4000,test,1571135081,331
usd,4000,bitcoin,1,test,1571135081,332
,0,usd,4000,test,1571133081,333
usd,4000,bitcoin,1,test,1571133081,334
,0,usd,4000,test,1571131081,335
usd,4000,bitcoin,1,test,1571131081,336
,0,usd,4000,test,1571129081,337
usd,4000,bitcoin,1,test,1571129081,338
,0,usd,4000,test,1571127081,339
usd,4000,bitcoin,1,test,1571127081,340
,0,usd,4000,test,1571125081,341
usd,4000,bitcoin,1,test,1571125081,342
,0,usd,4000,test,1571123081,343
usd,4000,bitcoin,1,test,1571123081,344
,0,usd,4000,test,1571121081,345
usd,4000,bitcoin,1,test,1571121081,346
,0,usd,4000,test,1571119081,347
usd,4000,bitcoin,1,test,1571119081,348
,0,usd,4000,test,1571117081,349
usd,4000,bitcoin,1,test,1571117081,350
,0,usd,4000,test,1571115081,351
usd,4000,bitcoin,1,test,1571115081,352
,0,usd,4000,test,1571113081,353
usd,4000,bitcoin,1,test,1571113081,354
,0,usd,4000,test,1571111081,355
usd,4000,bitcoin,1,test,1571111081,356
,0,usd,4000,test,1571109081,357
usd,4000,bitcoin,1,test,1571109081,358
,0,usd,4000,test,1571107081,359
usd,4000,bitcoin,1,test,1571107081,360
,0,usd,4000,test,1571105081,361
usd,4000,bitcoin,1,test,1571105081,362
,0,usd,4000,test,1571103081,363
usd,4000,bitcoin,1,test,1571103081,364
,0,usd,4000,test,1571101081,365
usd,4000,bitcoin,1,test,1571101081,366
,0,usd,4000,test,1571099081,367
usd,4000,bitcoin,1,test,1571099081,368
,0,usd,4000,test,1571097081,369
usd,4000,bitcoin,1,test,1571097081,370
,0,usd,4000,test,1571095081,371
usd,4000,bitcoin,1,test,1571095081,372
,0,usd,4000,test,1571093081,373
usd,4000,bitcoin,1,test,1571093081,374
,0,usd,4000,test,1571091081,375
usd,4000,bitcoin,1,test,1571091081,376
,0,usd,4000,test,1571089081,377
usd,4000,bitcoin,1,test,1571089081,378
,0,usd,4000,test,1571087081,379
usd,4000,bitcoin,1,test,1571087081,380
,0,usd,4000,test,1571085081,381
usd,4000,bitcoin,1,test,1571085081,382
,0,usd,4000,test,1571083081,383
usd,4000,bitcoin,1,test,1571083081,384
,0,usd,4000,test,1571081081,385
usd,4000,bitcoin,1,test,1571081081,386
,0,usd,4000,test,1571079081,387
usd,4000,bitcoin,1,test,1571079081,388
,0,usd,4000,test,1571077081,389
usd,4000,bitcoin,1,test,1571077081,390
,0,usd,4000,test,1571075081,391
usd,4000,bitcoin,1,test,1571075081,392
,0,usd,4000,test,1571073081,393
usd,4000,bitcoin,1,test,1571073081,394
,0,usd,4000,test,1571071081,395
usd,4000,bitcoin,1,test,1571071081,396
,0,usd,4000,test,1571069081,397
usd,4000,bitcoin,1,test,1571069081,398
,0,usd,4000,test,1571067081,399
usd,4000,bitcoin,1,test,1571067081,400
,0,usd,4000,test,1571065081,401
usd,4000,bitcoin,1,test,1571065081,402
,0,usd,4000,test,1571063081,403
